image_filename,split,class_id,x_center,y_center,width,height,used_in_training
a017135.jpg,train,0,0.834972,0.971639,0.044215,0.019175,True
a017135.jpg,train,0,0.893117,0.971416,0.049060,0.018729,True
a017135.jpg,train,0,0.947325,0.959822,0.026650,0.020513,True
a017135.jpg,train,1,0.842999,0.030918,0.028871,0.018035,False
a017153.jpg,train,0,0.952562,0.965886,0.031230,0.021405,True
a017153.jpg,train,0,0.839953,0.973913,0.042641,0.019621,True
a017153.jpg,train,0,0.896708,0.975251,0.034834,0.020513,True
a017153.jpg,train,1,0.220493,0.021900,0.042508,0.021900,False
a017176.jpg,train,0,0.972678,0.957191,0.035653,0.020959,True
a017176.jpg,train,0,0.915378,0.968339,0.049660,0.021851,True
a017176.jpg,train,0,0.856168,0.968785,0.045840,0.022742,True
a017176.jpg,train,1,0.222451,0.040000,0.044694,0.017391,False
a017200.jpg,train,0,0.828169,0.972543,0.047771,0.027404,True
a017200.jpg,train,0,0.887332,0.972806,0.042626,0.024769,True
a017200.jpg,train,0,0.945391,0.958841,0.041156,0.022134,True
a017200.jpg,train,1,0.864334,0.024696,0.029103,0.013217,False
a017345.jpg,train,0,0.827970,0.970659,0.053027,0.030295,True
a017345.jpg,train,0,0.889066,0.970659,0.049184,0.029173,True
a017345.jpg,train,0,0.942477,0.957475,0.043805,0.025245,True
a017601.jpg,train,0,0.057725,0.036870,0.042883,0.026435,True
a017601.jpg,train,0,0.111566,0.026435,0.045742,0.022261,True
a017601.jpg,train,0,0.166361,0.026087,0.046694,0.022957,True
a017601.jpg,train,1,0.220713,0.029431,0.042150,0.024080,False
a017601.jpg,train,1,0.799354,0.030435,0.041233,0.026087,False
a017601.jpg,train,1,0.795689,0.959732,0.134696,0.049498,False
a017601.jpg,train,1,0.194140,0.965418,0.113621,0.032776,False
a017631.jpg,train,0,0.824103,0.969469,0.045978,0.022544,True
a017631.jpg,train,0,0.881358,0.970757,0.051183,0.025121,True
a017631.jpg,train,0,0.933842,0.957874,0.039905,0.025121,True
a017631.jpg,train,1,0.808239,0.032000,0.031855,0.020870,False
a017634.jpg,train,0,0.941977,0.960401,0.026845,0.020959,True
a017634.jpg,train,0,0.886496,0.970212,0.047128,0.018283,True
a017634.jpg,train,0,0.829525,0.970435,0.054884,0.022297,True
a017634.jpg,train,1,0.491323,0.040076,0.054624,0.019660,False
a036173.jpg,train,0,0.169601,0.044816,0.051394,0.028094,True
a036173.jpg,train,0,0.108863,0.042809,0.057000,0.029431,True
a036173.jpg,train,0,0.052797,0.048829,0.045787,0.036120,True
a036173.jpg,train,1,0.190722,0.957391,0.060738,0.026087,False
a036173.jpg,train,1,0.755585,0.956522,0.063167,0.027826,False
a036617.jpg,train,0,0.847983,0.973289,0.047940,0.024080,True
a036617.jpg,train,0,0.905572,0.973735,0.047317,0.021405,True
a036617.jpg,train,0,0.961294,0.961249,0.042959,0.028540,True
a036617.jpg,train,1,0.196436,0.029469,0.055307,0.024155,False
a036621.jpg,train,0,0.857853,0.975920,0.043722,0.025418,True
a036621.jpg,train,0,0.917099,0.975251,0.048157,0.025864,True
a036621.jpg,train,0,0.976028,0.964994,0.038019,0.026756,True
a036621.jpg,train,1,0.153286,0.029565,0.056838,0.031304,False
a036621.jpg,train,1,0.821755,0.040000,0.064252,0.034783,False
a036759.jpg,train,1,0.978122,0.230435,0.037826,0.060870,False
a036759.jpg,train,1,0.974970,0.793913,0.039087,0.074783,False
a036759.jpg,train,1,0.973078,0.976522,0.040348,0.040000,False
a036763.jpg,train,0,0.828524,0.970639,0.043670,0.031714,True
a036763.jpg,train,0,0.887098,0.972430,0.042977,0.023018,True
a036763.jpg,train,0,0.937353,0.962455,0.028420,0.022506,True
a036763.jpg,train,1,0.182302,0.030435,0.070704,0.053913,False
a036763.jpg,train,1,0.747937,0.035652,0.084845,0.043478,False
a036776.jpg,train,0,0.942912,0.963434,0.030527,0.022742,True
a036776.jpg,train,0,0.891735,0.971237,0.040702,0.019621,True
a036776.jpg,train,0,0.835469,0.970569,0.041900,0.020959,True
a036776.jpg,train,1,0.791100,0.040870,0.049022,0.029565,False
a036800.jpg,train,0,0.028828,0.960401,0.027780,0.037012,True
a036800.jpg,train,0,0.019200,0.902876,0.021782,0.039688,True
a036800.jpg,train,0,0.020147,0.849811,0.021151,0.039688,True
a036934.jpg,train,0,0.792454,0.986812,0.054721,0.026376,True
a036934.jpg,train,0,0.853145,0.988261,0.044772,0.023478,True
a036934.jpg,train,0,0.911348,0.988986,0.051736,0.022028,True
a036934.jpg,train,0,0.966765,0.980145,0.032833,0.027536,True
a046328.jpg,train,0,0.087705,0.028317,0.047037,0.026310,True
a046328.jpg,train,0,0.135047,0.029208,0.035430,0.026310,True
a046328.jpg,train,0,0.168339,0.029431,0.042150,0.030323,True
a046344.jpg,train,0,0.907495,0.971594,0.038537,0.025121,True
a046344.jpg,train,1,0.435377,0.985858,0.148551,0.028284,False
a046344.jpg,train,1,0.802978,0.987231,0.108266,0.025538,False
a046417.jpg,train,1,0.049022,0.835975,0.028394,0.028820,False
a046509.jpg,train,,,,,,True
a071842.jpg,train,0,0.041634,0.036566,0.032968,0.024972,True
a071842.jpg,train,0,0.103296,0.024749,0.058610,0.024526,True
a071842.jpg,train,0,0.171674,0.025418,0.057388,0.031215,True
a073144.jpg,train,0,0.033116,0.948571,0.023578,0.034783,True
a073144.jpg,train,0,0.024274,0.887081,0.034006,0.064596,True
a073144.jpg,train,0,0.025181,0.822795,0.034006,0.051553,True
a073144.jpg,train,1,0.962934,0.068227,0.044923,0.074916,False
a073171.jpg,train,0,0.924789,0.962074,0.049678,0.024749,True
a073171.jpg,train,0,0.874651,0.977458,0.061638,0.032776,True
a073171.jpg,train,0,0.818073,0.975786,0.073598,0.037458,True
a073171.jpg,train,1,0.054249,0.040580,0.056698,0.042512,False
a073228.jpg,train,0,0.037771,0.949365,0.027674,0.031438,True
a073228.jpg,train,0,0.027090,0.888495,0.031558,0.067559,True
a073228.jpg,train,0,0.026119,0.824950,0.034471,0.051505,True
a073228.jpg,train,1,0.959406,0.032298,0.035165,0.039752,False
a073300.jpg,train,0,0.026958,0.824219,0.028870,0.051530,True
a073300.jpg,train,0,0.026260,0.891530,0.031198,0.053462,True
a073300.jpg,train,0,0.037435,0.954976,0.027473,0.032206,True
a073333.jpg,train,0,0.938274,0.956616,0.041878,0.024442,True
a073333.jpg,train,0,0.882328,0.972597,0.050384,0.026322,True
a073333.jpg,train,0,0.824091,0.972362,0.051693,0.024912,True
a073350.jpg,train,0,0.967254,0.047205,0.027096,0.038509,True
a073350.jpg,train,0,0.980350,0.115528,0.032516,0.063354,True
a073350.jpg,train,0,0.981820,0.182298,0.036359,0.050311,True
a073350.jpg,train,1,0.968269,0.956054,0.020913,0.024749,False
a073406.jpg,train,0,0.818159,0.968461,0.063032,0.029142,True
a073406.jpg,train,0,0.882816,0.970341,0.049386,0.031022,True
a073406.jpg,train,0,0.931552,0.957650,0.040289,0.023502,True
a073438.jpg,train,0,0.937906,0.955451,0.047037,0.026756,True
